Cluster,Negative,Positive,Top Words
0,280,22,"[('screen', 88), ('laptop', 76), ('computer', 59), ('less', 58), ('regular', 57), ('like', 52), ('back', 46), ('can', 42), ('was', 40), ('last', 37), ('will', 36), ('touch', 35), ('use', 32), ('would', 32), ('get', 27)]"
1,21,0,"[('less', 10), ('power', 9), ('heat', 6), ('processor', 5), ('offensive', 4), ('global', 4), ('strike', 4), ('counter', 4), ('including', 3), ('th', 3), ('gtx', 3), ('generation', 3), ('number', 3), ('also', 3), ('running', 3)]"
2,60,1,"[('card', 35), ('drive', 28), ('sd', 28), ('external', 19), ('storage', 16), ('usb', 13), ('internal', 12), ('regular', 11), ('use', 10), ('less', 8), ('limited', 7), ('gb', 7), ('slot', 7), ('back', 7), ('memory', 7)]"
3,21,1,"[('gb', 9), ('cpu', 6), ('years', 5), ('standard', 5), ('model', 5), ('ssd', 4), ('install', 4), ('ram', 4), ('less', 3), ('installed', 3), ('celeron', 3), ('regularly', 3), ('dell', 3), ('intel', 3), ('back', 3)]"
4,130,10,"[('price', 50), ('less', 41), ('would', 34), ('worth', 32), ('gb', 31), ('ram', 31), ('overall', 30), ('laptop', 21), ('computer', 19), ('think', 16), ('model', 15), ('was', 15), ('extra', 14), ('product', 12), ('amazon', 12)]"
5,43,2,"[('missing', 28), ('screen', 15), ('system', 13), ('damaged', 13), ('error', 10), ('back', 9), ('message', 9), ('chrome', 9), ('operating', 8), ('os', 8), ('started', 7), ('month', 6), ('got', 6), ('recovery', 6), ('less', 5)]"
6,28,4,"[('missing', 10), ('computer', 9), ('installed', 8), ('would', 8), ('was', 8), ('were', 8), ('camera', 7), ('less', 6), ('standard', 5), ('waste', 5), ('money', 4), ('slot', 4), ('card', 4), ('properly', 4), ('one', 4)]"
7,53,1,"[('last', 19), ('computer', 16), ('was', 16), ('ive', 14), ('less', 13), ('battery', 11), ('cant', 10), ('months', 9), ('hours', 8), ('three', 8), ('typing', 8), ('running', 7), ('working', 7), ('will', 7), ('get', 6)]"
8,88,2,"[('regular', 35), ('computer', 28), ('need', 16), ('google', 15), ('work', 14), ('windows', 13), ('regularly', 13), ('can', 12), ('system', 11), ('chrome', 10), ('operating', 9), ('also', 8), ('printer', 8), ('back', 8), ('use', 7)]"
9,122,6,"[('drive', 45), ('less', 30), ('gb', 27), ('last', 27), ('one', 23), ('installed', 21), ('ssd', 20), ('computer', 20), ('ram', 19), ('was', 18), ('windows', 17), ('missing', 16), ('will', 15), ('cant', 15), ('disk', 13)]"
10,1,27,"[('hopefully', 14), ('would', 11), ('screen', 11), ('quite', 11), ('quality', 10), ('will', 8), ('doesnt', 8), ('im', 7), ('really', 7), ('hope', 7), ('last', 7), ('computer', 7), ('years', 6), ('another', 6), ('market', 6)]"
11,1,4,"[('key', 8), ('make', 6), ('launch', 6), ('steam', 6), ('software', 6), ('version', 5), ('would', 4), ('desktop', 3), ('great', 3), ('edit', 3), ('could', 3), ('recording', 3), ('inch', 2), ('angles', 1), ('lighter', 1)]"
12,2,7,"[('would', 12), ('nice', 7), ('windows', 7), ('option', 6), ('tax', 5), ('bootcamp', 5), ('cost', 5), ('rather', 5), ('access', 5), ('also', 5), ('way', 5), ('unwieldy', 5), ('world', 5), ('natural', 5), ('were', 3)]"
13,2,11,"[('would', 11), ('nice', 10), ('attached', 5), ('update', 5), ('right', 4), ('around', 3), ('side', 3), ('could', 3), ('trackpad', 3), ('flip', 3), ('display', 3), ('purposes', 3), ('drawing', 3), ('know', 2), ('box', 2)]"
14,69,16,"[('usb', 44), ('port', 39), ('one', 22), ('hdmi', 21), ('use', 18), ('keyboard', 17), ('regular', 16), ('external', 15), ('side', 14), ('screen', 14), ('laptop', 14), ('mouse', 13), ('c', 12), ('can', 11), ('ports', 11)]"
